Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Profit,Returns,Payment_Mode
CA-2019-160304,1/1/2019,1/7/2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",-0.4036215346491714,1,-0.005523070828867145,No,Online
CA-2019-160304,1/2/2019,1/7/2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",-0.19274914797509946,3,0.03300260665035916,No,Online
CA-2019-160304,1/2/2019,1/7/2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,TEC-PH-10000455,Technology,Phones,GE 30522EE2,-0.07035881474946813,2,0.14475558034145,No,Cards
CA-2019-125206,1/3/2019,1/5/2019,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,-0.3181760435688375,2,-0.004181606739040491,No,Online
US-2019-116365,1/3/2019,1/8/2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,-0.4961101634444194,2,-0.13470274947091124,No,Online
US-2019-116365,1/3/2019,1/8/2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,-0.21033590502371707,3,-0.13834727856044604,No,Online
US-2019-116365,1/3/2019,1/8/2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,-0.1779459064305796,5,-0.0621357833710406,No,Cards
CA-2019-105207,1/3/2019,1/8/2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",2.799340233781974,7,1.2356209253554367,No,COD
CA-2019-105207,1/3/2019,1/8/2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,-0.5344889378191005,2,-0.09382700566545214,No,COD
US-2019-164630,1/4/2019,1/9/2019,Standard Class,EB-13975,Erica Bern,Corporate,United States,Charlotte,North Carolina,South,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,1.4647668555513746,4,0.3478698866338773,No,Online
CA-2019-158211,1/4/2019,1/8/2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004078,Office Supplies,Art,Newell 312,-0.5496886194505675,1,-0.1121729332810597,No,Online
